config_id,config_name,launch_count,leo_capacity,apogee,is_placeholder,vehicle_class,notes
37,Soyuz U,714,6900.0,,False,orbital,
164,Falcon 9,619,22800.0,200.0,False,orbital,
102,Kosmos-3M,445,,,False,orbital,
104,Voskhod,299,,,False,orbital,
106,Molniya-M,272,,,False,orbital,
493,Space Shuttle,135,27500.0,,False,orbital,
327,Kosmos 11K63,126,300.0,,False,orbital,
445,Tsiklon-3,122,4100.0,,False,orbital,
80,Proton,110,,,False,orbital,
443,Tsiklon-2,105,2820.0,,False,orbital,
17,Long March 2D,100,3500.0,500.0,False,orbital,
452,Vostok 8A92M,93,3800.0,,False,orbital,
26,Electron,92,300.0,,False,orbital,NOTE: HASTE suborbital flights may be recorded under the Electron config - check per-launch orbit
50,Long March 3B/E,78,12000.0,,False,orbital,
378,Soyuz-U-PVB,74,6900.0,,False,orbital,
20,Ariane 5 ECA,73,,40000.0,False,orbital,
101,Soyuz-U,71,7050.0,,False,orbital,
22,Proton-M Briz-M,68,21000.0,40000.0,False,orbital,
465,SpaceShipTwo,67,0.0,110.0,False,suborbital,"SpaceShipTwo, air-launched suborbital spaceplane"
349,Proton-K/DM,66,,,False,orbital,
61,Long March 2C,65,3850.0,,False,orbital,
417,Thor SLV-2A Agena D,61,,,False,orbital,
34,Soyuz,60,6450.0,,False,orbital,
64,Long March 4C,60,,,False,orbital,
24,Soyuz 2.1a,58,7020.0,,False,orbital,
10,Long March 4B,57,4200.0,,False,orbital,
258,Atlas SLV-3 Agena D,48,1000.0,,False,orbital,
451,Vostok 8A92,44,4730.0,,False,orbital,
350,Proton-K/DM-2M,41,,,False,orbital,
16,Atlas V 401,41,9050.0,40000.0,False,orbital,
186,Thor DM-21 Agena-B,40,,,False,orbital,
184,Molniya 8K78,40,1900.0,,False,orbital,
225,Ariane 44L,40,10200.0,,False,orbital,
191,Proton,39,,,False,orbital,
137,New Shepard,38,0.0,100.0,False,suborbital,New Shepard suborbital tourism vehicle
190,Kosmos-2I 63S1,38,300.0,,False,orbital,
159,Delta II,36,,,False,orbital,
11,Zenit,36,0.0,140.0,False,orbital,
439,Titan IIIC,36,13100.0,,False,orbital,
134,Soyuz 2.1b/Fregat-M,35,8200.0,,False,orbital,
455,Zenit-2,35,13740.0,,False,orbital,
32,H-IIA,35,10000.0,,False,orbital,
87,Proton-M,33,,,False,orbital,
173,Pegasus XL,32,443.0,4000.0,False,orbital,
96,Soyuz,32,,,False,orbital,
261,Atlas SLV-3D Centaur,32,800.0,,False,orbital,
135,Kuaizhou 1A,31,300.0,,False,orbital,
40,Rokot/Briz-KM,31,1850.0,1500.0,False,orbital,
418,Thorad SLV-2G Agena D,30,,,False,orbital,
255,Atlas IIAS,30,6580.0,,False,orbital,
287,Delta 2914,30,724.0,,False,orbital,
95,Proton,29,,,False,orbital,
183,Atlas Agena B,29,,,False,orbital,
71,Long March 3A,27,0.0,40000.0,False,orbital,
38,PSLV-XL,27,,,False,orbital,
478,Long March 6A,26,,,False,orbital,
140,Delta II,26,,,False,orbital,
226,Ariane 44LP,26,8000.0,,False,orbital,
55,Falcon 9,25,22800.0,200.0,False,orbital,
42,Soyuz 2.1b/Fregat,25,8200.0,,False,orbital,
19,Long March 3B,24,11500.0,,False,orbital,
15,Soyuz 2.1b,24,8200.0,,False,orbital,
254,Atlas IIA,23,6580.0,,False,orbital,
421,Titan 24B,23,3000.0,,False,orbital,
27,Atlas V 551,23,18850.0,40000.0,False,orbital,
358,Scout B,23,143.0,,False,orbital,
84,Long March 2F/G,22,8399.0,,False,orbital,
31,Dnepr,22,,,False,orbital,
438,Titan IIIB,22,3000.0,,False,orbital,
440,Titan IIID,22,12300.0,,False,orbital,
167,Vega,22,1500.0,,False,orbital,
351,R-36O 8K69,21,,,False,orbital,"R-36O FOBS, fractional orbital by design"
45,Soyuz 2.1a/Fregat-M,20,7020.0,,False,orbital,
187,Thor DM-21 Ablestar,19,150.0,,False,orbital,
